序号,地级市,所属省份
1,阿坝藏族羌族自治州,四川省
2,阿克苏地区,新疆维吾尔自治区
3,阿拉善盟,内蒙古自治区
4,阿勒泰地区,新疆维吾尔自治区
5,阿里地区,西藏自治区
6,安康市,陕西省
7,安庆市,安徽省
8,安顺市,贵州省
9,安阳市,河南省
10,鞍山市,辽宁省
11,巴彦淖尔市,内蒙古自治区
12,巴音郭楞蒙古自治州,新疆维吾尔自治区
13,巴中市,四川省
14,白城市,吉林省
15,白山市,吉林省
16,白银市,甘肃省
17,百色市,广西壮族自治区
18,蚌埠市,安徽省
19,包头市,内蒙古自治区
20,宝鸡市,陕西省
21,保定市,河北省
22,保山市,云南省
23,北海市,广西壮族自治区
24,本溪市,辽宁省
25,毕节地区,贵州省
26,滨州市,山东省
27,博尔塔拉蒙古自治州,新疆维吾尔自治区
28,沧州市,河北省
29,昌都地区,西藏自治区
30,昌吉回族自治州,新疆维吾尔自治区
31,长春市,吉林省
32,长沙市,湖南省
33,长治市,山西省
34,常德市,湖南省
35,常州市,江苏省
36,巢湖市,安徽省
37,朝阳市,辽宁省
38,潮州市,广东省
39,郴州市,湖南省
40,成都市,四川省
41,承德市,河北省
42,池州市,安徽省
43,赤峰市,内蒙古自治区
44,崇左市,广西壮族自治区
45,滁州市,安徽省
46,楚雄彝族自治州,云南省
47,达州市,四川省
48,大理白族自治州,云南省
49,大连市,辽宁省
50,大庆市,黑龙江省
51,大同市,山西省
52,大兴安岭地区,黑龙江省
53,丹东市,辽宁省
54,德宏傣族景颇族自治州,云南省
55,德阳市,四川省
56,德州市,山东省
57,迪庆藏族自治州,云南省
58,定西市,甘肃省
59,东莞市,广东省
60,东营市,山东省
61,鄂尔多斯市,内蒙古自治区
62,鄂州市,湖北省
63,恩施土家族苗族自治州,湖北省
64,防城港市,广西壮族自治区
65,佛山市,广东省
66,福州市,福建省
67,抚顺市,辽宁省
68,抚州市,江西省
69,阜新市,辽宁省
70,阜阳市,安徽省
71,甘南州,甘肃省
72,甘孜藏族自治州,四川省
73,赣州市,江西省
74,固原市,宁夏回族自治区
75,广安市,四川省
76,广元市,四川省
77,广州市,广东省
78,贵港市,广西壮族自治区
79,贵阳市,贵州省
80,桂林市,广西壮族自治区
81,果洛藏族自治州,青海省
82,哈尔滨市,黑龙江省
83,哈密地区,新疆维吾尔自治区
84,海北藏族自治州,青海省
85,海东地区,青海省
86,海口市,海南省
87,海南藏族自治州,青海省
88,海西蒙古族藏族自治州,青海省
89,邯郸市,河北省
90,汉中市,陕西省
91,杭州市,浙江省
92,毫州市,安徽省
93,合肥市,安徽省
94,和田地区,新疆维吾尔自治区
95,河池市,广西壮族自治区
